cityName,countyName,stateName,Date,event,label,link
San Francisco,San Francisco County,California,2/25/2020,State of emergency,City emergency declaration,
Ocean City,,New Jersey,3/25/2020,Beach/park closure,Boardwalk closed,https://www.nj.com/coronavirus/2020/03/ocean-city-joins-growing-list-of-shore-towns-closing-the-beach-due-to-coronavirus.html
Seaside Heights,,New Jersey,,Beach/park closure,Boardwalk closed,https://www.nj.com/coronavirus/2020/03/ocean-city-joins-growing-list-of-shore-towns-closing-the-beach-due-to-coronavirus.html
Point Pleasant,,New Jersey,,Beach/park closure,Boardwalk closed,https://www.nj.com/coronavirus/2020/03/ocean-city-joins-growing-list-of-shore-towns-closing-the-beach-due-to-coronavirus.html
San Francisco,San Francisco County,California,3/23/2020,Beach/park closure,Close playgrounds,https://calmatters.org/health/coronavirus/2020/03/coronavirus-california-state-parks-beaches-parking-lots-closed-gavin-newsom/
New York City,,New York,,Beach/park closure,Prospect Park Zoo closed,https://www.cnn.com/2020/03/23/us/california-stay-at-home-beach-goers/index.html
Savannah,,Georgia,,Beach/park closure,Fort Pulaski Nation Monument closure,https://www.usatoday.com/story/travel/experience/america/national-parks/2020/03/23/coronavirus-national-parks-state-parks-close-amid-outbreak/2898763001/
New York City,,New York,3/28/2020,Airport/air traffic control closure,Temporary closure of air traffic control tower at LaGuardia,https://www.businessinsider.com/coronavirus-airports-and-faa-centers-temporarily-closed-for-cleaning-2020-3#chicagos-midway-international-airport-1
New York City,,New York,3/26/2020,Airport/air traffic control closure,Temporary closure of air traffic control tower at JFK International Airport,https://www.businessinsider.com/coronavirus-airports-and-faa-centers-temporarily-closed-for-cleaning-2020-3#chicagos-midway-international-airport-1
Chicago,,Illinois,3/24/2020,Airport/air traffic control closure,Temporary closure of air traffic control tower at Midway,https://www.businessinsider.com/coronavirus-airports-and-faa-centers-temporarily-closed-for-cleaning-2020-3#chicagos-midway-international-airport-1
Las Vegas,,Nevada,3/25/2020,Airport/air traffic control closure,Temporary closure of air traffic control tower at McCarran International Airport,https://www.businessinsider.com/coronavirus-airports-and-faa-centers-temporarily-closed-for-cleaning-2020-3#chicagos-midway-international-airport-1
Las Vegas,,Nevada,3/25/2020,Airport/air traffic control closure,Temporary closure of air traffic control tower at TRACON,https://www.businessinsider.com/coronavirus-airports-and-faa-centers-temporarily-closed-for-cleaning-2020-3#chicagos-midway-international-airport-1
Indianapolis,,Indiana,3/28/2020,Airport/air traffic control closure,Temporary closure of air traffic control tower at Indianapolis International Airport,https://www.businessinsider.com/coronavirus-airports-and-faa-centers-temporarily-closed-for-cleaning-2020-3#chicagos-midway-international-airport-1
Wilmington,,Delaware,3/27/2020,Airport/air traffic control closure,Temporary closure of air traffic control tower at Wilmington New Castle Airport,https://www.businessinsider.com/coronavirus-airports-and-faa-centers-temporarily-closed-for-cleaning-2020-3#chicagos-midway-international-airport-1
Ronkonkoma,,New York,,Airport/air traffic control closure,Temporary closure of air traffic control tower at MacArthur Airport (Long Island),https://www.businessinsider.com/coronavirus-airports-and-faa-centers-temporarily-closed-for-cleaning-2020-3#chicagos-midway-international-airport-1
Farmingdale,,New York,3/28/2020,Airport/air traffic control closure,Temporary closure of air traffic control tower at Farmingdale Republic Airport,https://www.businessinsider.com/coronavirus-airports-and-faa-centers-temporarily-closed-for-cleaning-2020-3#chicagos-midway-international-airport-1
District of Columbia,,District of Columbia,3/28/2020,Airport/air traffic control closure,Temporary closure of air traffic control tower at Lessburg Executive Airport,https://www.businessinsider.com/coronavirus-airports-and-faa-centers-temporarily-closed-for-cleaning-2020-3#chicagos-midway-international-airport-1
Peoria,Peoria County,Illinois,3/28/2020,Airport/air traffic control closure,Temporary closure of air traffic control tower at Peoria Airport,https://www.businessinsider.com/coronavirus-airports-and-faa-centers-temporarily-closed-for-cleaning-2020-3#chicagos-midway-international-airport-1
Santa Ana,Orange County,California,3/27/2020,Airport/air traffic control closure,Temporary closure of air traffic control tower at John Wayne Airport,https://www.businessinsider.com/coronavirus-airports-and-faa-centers-temporarily-closed-for-cleaning-2020-3#chicagos-midway-international-airport-1
