countyName,stateName,Date,event,label,link
Santa Clara County,California,2/10/2020,State of emergency,County emergency declaration,
Harris County,Texas,3/24/2020,Shelter in place/stay-at-home,Shelter in place/stay-at-home,
Dallas County,Texas,3/22/2020,Shelter in place/stay-at-home,Shelter in place/stay-at-home,
Galveston County,Texas,3/23/2020,Shelter in place/stay-at-home,Shelter in place/stay-at-home,
Travis County,Texas,3/23/2020,Shelter in place/stay-at-home,Shelter in place/stay-at-home,
Bexar County,Texas,3/23/2020,Shelter in place/stay-at-home,Shelter in place/stay-at-home,
Duval County,Florida,3/20/2020,Beach/park closure,Beach/park closure,https://www.orlandomagazine.com/best-florida-beaches-closed-due-to-coronavirus/
Flagler County,Florida,3/22/2020,Beach/park closure,Beach/park closure,https://www.orlandomagazine.com/best-florida-beaches-closed-due-to-coronavirus/
Nassau County,Florida,3/22/2020,Beach/park closure,Beach/park closure,https://www.orlandomagazine.com/best-florida-beaches-closed-due-to-coronavirus/
Hillsborough County,Florida,3/19/2020,Beach/park closure,Beach/park closure,https://www.orlandomagazine.com/best-florida-beaches-closed-due-to-coronavirus/
Pillellas County,Florida,3/21/2020,Beach/park closure,Beach/park closure,https://www.orlandomagazine.com/best-florida-beaches-closed-due-to-coronavirus/
Bay County,Florida,3/20/2019,Beach/park closure,Beach/park closure,https://www.orlandomagazine.com/best-florida-beaches-closed-due-to-coronavirus/
Okaloosa County,Florida,3/20/2020,Beach/park closure,Beach/park closure,https://www.orlandomagazine.com/best-florida-beaches-closed-due-to-coronavirus/
Walton County,Florida,3/19/2020,Beach/park closure,Beach/park closure,https://www.orlandomagazine.com/best-florida-beaches-closed-due-to-coronavirus/
Collier County,Florida,3/19/2020,Beach/park closure,Beach/park closure,https://www.orlandomagazine.com/best-florida-beaches-closed-due-to-coronavirus/
Lee County,Florida,3/20/2020,Beach/park closure,Beach/park closure,https://www.orlandomagazine.com/best-florida-beaches-closed-due-to-coronavirus/
Marin County,California,3/22/2020,Beach/park closure,Park closure,https://calmatters.org/health/coronavirus/2020/03/coronavirus-california-state-parks-beaches-parking-lots-closed-gavin-newsom/
Miami-Dade County,California,3/22/2020,Beach/park closure,Closed marinas and boat ramps,https://www.cnn.com/2020/03/23/us/california-stay-at-home-beach-goers/index.html
Fairfax County,Virginia,3/24/2020,Beach/park closure,Beach/park closure,https://www.cnn.com/2020/03/23/us/california-stay-at-home-beach-goers/index.html
Sonoma County,California,3/24/2020,Beach/park closure,Beach/park closure,https://parks.sonomacounty.ca.gov/
Pierce County,Washington,3/26/2020,Beach/park closure,,https://www.thenewstribune.com/news/coronavirus/article241540256.html
